10000,Mumbai Indians,Deccan Chargers,4/27/2008,2008,5,Deccan Chargers,Deccan Chargers,field,wickets,Result,AC Gilchrist,10
,,,,,,,,,,,,
53,Keeper,Deccan Chargers,,,,,,,,,,
55,Captain,Deccan Chargers,,,,,,,,,,
56,Player,Deccan Chargers,,,,,,,,,,
57,Player,Deccan Chargers,,,,,,,,,,
59,Player,Deccan Chargers,,,,,,,,,,
61,Player,Deccan Chargers,,,,,,,,,,
70,Player,Deccan Chargers,,,,,,,,,,
98,Player,Deccan Chargers,,,,,,,,,,
99,Player,Deccan Chargers,,,,,,,,,,
131,Player,Deccan Chargers,,,,,,,,,,
232,Player,Deccan Chargers,,,,,,,,,,
43,Keeper,Mumbai Indians,,,,,,,,,,
44,Player,Mumbai Indians,,,,,,,,,,
46,Player,Mumbai Indians,,,,,,,,,,
48,Player,Mumbai Indians,,,,,,,,,,
49,Captain,Mumbai Indians,,,,,,,,,,
71,Player,Mumbai Indians,,,,,,,,,,
72,Player,Mumbai Indians,,,,,,,,,,
73,Player,Mumbai Indians,,,,,,,,,,
80,Player,Mumbai Indians,,,,,,,,,,
85,Player,Mumbai Indians,,,,,,,,,,
148,Player,Mumbai Indians,,,,,,,,,,
,,,,,,,,,,,,
2,5,1,1,No Extras,0,0,Not Applicable,43,44,98,,
2,6,1,1,No Extras,4,0,Not Applicable,43,44,98,,
3,1,1,2,legbyes,0,1,Not Applicable,44,43,61,,
3,2,1,1,No Extras,0,0,caught,43,44,61,43,55
3,3,1,3,No Extras,0,0,Not Applicable,85,44,61,,
3,4,1,3,No Extras,0,0,Not Applicable,85,44,61,,
3,5,1,3,No Extras,0,0,Not Applicable,85,44,61,,
3,6,1,3,No Extras,0,0,Not Applicable,85,44,61,,
4,1,1,2,No Extras,0,0,Not Applicable,44,85,59,,
4,2,1,2,No Extras,3,0,Not Applicable,44,85,59,,
4,3,1,3,No Extras,0,0,Not Applicable,85,44,59,,
4,4,1,3,No Extras,0,0,Not Applicable,85,44,59,,
4,5,1,3,No Extras,0,0,caught,85,44,59,85,131
4,6,1,2,No Extras,0,0,Not Applicable,44,46,59,,
5,1,1,4,No Extras,1,0,Not Applicable,46,44,98,,
5,2,1,2,No Extras,0,0,Not Applicable,44,46,98,,
5,3,1,2,No Extras,0,0,Not Applicable,44,46,98,,
5,4,1,2,wides,0,1,Not Applicable,44,46,98,,
5,5,1,2,No Extras,1,0,Not Applicable,44,46,98,,
5,6,1,4,No Extras,1,0,Not Applicable,46,44,98,,
5,7,1,2,No Extras,0,0,Not Applicable,44,46,98,,
6,1,1,4,noballs,0,1,Not Applicable,46,44,70,,
6,2,1,4,No Extras,4,0,Not Applicable,46,44,70,,
6,3,1,4,No Extras,0,0,Keeper Catch,46,44,70,46,53
6,4,1,5,No Extras,0,0,Not Applicable,49,44,70,,
6,5,1,5,No Extras,0,0,Not Applicable,49,44,70,,
6,6,1,5,No Extras,0,0,Not Applicable,49,44,70,,
6,7,1,5,No Extras,0,0,Not Applicable,49,44,70,,
7,1,1,2,No Extras,0,0,Not Applicable,44,49,98,,
7,2,1,2,No Extras,1,0,Not Applicable,44,49,98,,
7,3,1,5,No Extras,1,0,Not Applicable,49,44,98,,
7,4,1,2,No Extras,1,0,Not Applicable,44,49,98,,
7,5,1,5,No Extras,1,0,Not Applicable,49,44,98,,
7,6,1,2,No Extras,4,0,Not Applicable,44,49,98,,
8,1,1,5,No Extras,4,0,Not Applicable,49,44,131,,
8,2,1,5,No Extras,1,0,Not Applicable,49,44,131,,
8,3,1,2,No Extras,1,0,Not Applicable,44,49,131,,
8,4,1,5,No Extras,0,0,Not Applicable,49,44,131,,
8,5,1,5,No Extras,1,0,Not Applicable,49,44,131,,
8,6,1,2,No Extras,0,0,Not Applicable,44,49,131,,
9,1,1,5,No Extras,0,0,Not Applicable,49,44,59,,
9,2,1,5,No Extras,1,0,Not Applicable,49,44,59,,
9,3,1,2,No Extras,1,0,Not Applicable,44,49,59,,
9,4,1,5,No Extras,1,0,Not Applicable,49,44,59,,
9,5,1,2,No Extras,1,0,Not Applicable,44,49,59,,
9,6,1,5,No Extras,1,0,Not Applicable,49,44,59,,
9,1,2,2,No Extras,1,0,Not Applicable,55,53,44,,
9,2,2,1,No Extras,1,0,Not Applicable,53,55,44,,
9,3,2,2,No Extras,1,0,Not Applicable,55,53,44,,
9,4,2,1,No Extras,4,0,Not Applicable,53,55,44,,
9,5,2,1,byes,0,4,Not Applicable,53,55,44,,
9,6,2,1,No Extras,0,0,Not Applicable,53,55,44,,
8,1,2,2,No Extras,1,0,Not Applicable,55,53,71,,
8,2,2,1,No Extras,1,0,Not Applicable,53,55,71,,
8,3,2,2,No Extras,4,0,Not Applicable,55,53,71,,
8,4,2,2,wides,0,1,Not Applicable,55,53,71,,
8,5,2,2,No Extras,1,0,Not Applicable,55,53,71,,
8,6,2,1,No Extras,6,0,Not Applicable,53,55,71,,
8,7,2,1,No Extras,0,0,Not Applicable,53,55,71,,
7,1,2,2,No Extras,1,0,Not Applicable,55,53,49,,
7,2,2,1,No Extras,0,0,Not Applicable,53,55,49,,
7,3,2,1,No Extras,6,0,Not Applicable,53,55,49,,
7,4,2,1,No Extras,6,0,Not Applicable,53,55,49,,
7,5,2,1,No Extras,4,0,Not Applicable,53,55,49,,
7,6,2,1,No Extras,6,0,Not Applicable,53,55,49,,
6,1,2,1,No Extras,4,0,Not Applicable,53,55,148,,
6,2,2,1,No Extras,0,0,Not Applicable,53,55,148,,
6,3,2,1,No Extras,0,0,Not Applicable,53,55,148,,
6,4,2,1,No Extras,6,0,Not Applicable,53,55,148,,
6,5,2,1,wides,0,1,Not Applicable,53,55,148,,
6,6,2,1,No Extras,1,0,Not Applicable,53,55,148,,
6,7,2,2,legbyes,0,1,Not Applicable,55,53,148,,
5,1,2,2,No Extras,0,0,Not Applicable,55,53,44,,
5,2,2,2,No Extras,1,0,Not Applicable,55,53,44,,
5,3,2,1,No Extras,0,0,Not Applicable,53,55,44,,
5,4,2,1,No Extras,2,0,Not Applicable,53,55,44,,
5,5,2,1,No Extras,6,0,Not Applicable,53,55,44,,
5,6,2,1,No Extras,1,0,Not Applicable,53,55,44,,
4,1,2,1,No Extras,0,0,Not Applicable,53,55,80,,
4,2,2,1,No Extras,0,0,Not Applicable,53,55,80,,
4,3,2,1,No Extras,4,0,Not Applicable,53,55,80,,
4,4,2,1,No Extras,4,0,Not Applicable,53,55,80,,
4,5,2,1,No Extras,0,0,Not Applicable,53,55,80,,
4,6,2,1,No Extras,0,0,Not Applicable,53,55,80,,
3,1,2,1,No Extras,0,0,Not Applicable,53,55,73,,
3,2,2,1,No Extras,4,0,Not Applicable,53,55,73,,
3,3,2,1,No Extras,1,0,Not Applicable,53,55,73,,
3,4,2,2,No Extras,0,0,Not Applicable,55,53,73,,
3,5,2,2,No Extras,4,0,Not Applicable,55,53,73,,
3,6,2,2,No Extras,0,0,Not Applicable,55,53,73,,
2,1,2,2,No Extras,1,0,Not Applicable,55,53,49,,
2,2,2,1,No Extras,4,0,Not Applicable,53,55,49,,
2,3,2,1,No Extras,0,0,Not Applicable,53,55,49,,
2,4,2,1,No Extras,1,0,Not Applicable,53,55,49,,
2,5,2,2,No Extras,0,0,Not Applicable,55,53,49,,
2,6,2,2,No Extras,4,0,Not Applicable,55,53,49,,
1,1,2,1,No Extras,0,0,Not Applicable,53,55,73,,
1,2,2,1,No Extras,4,0,Not Applicable,53,55,73,,
1,3,2,1,No Extras,4,0,Not Applicable,53,55,73,,
1,4,2,1,No Extras,0,0,Not Applicable,53,55,73,,
1,5,2,1,No Extras,1,0,Not Applicable,53,55,73,,
1,6,2,2,No Extras,1,0,Not Applicable,55,53,73,,
11,1,2,2,No Extras,2,0,Not Applicable,55,53,71,,
11,2,2,2,No Extras,1,0,Not Applicable,55,53,71,,
11,3,2,1,wides,0,1,Not Applicable,53,55,71,,
11,4,2,1,No Extras,6,0,Not Applicable,53,55,71,,
11,5,2,1,No Extras,1,0,Not Applicable,53,55,71,,
11,6,2,2,No Extras,0,0,Not Applicable,55,53,71,,
11,7,2,2,No Extras,6,0,Not Applicable,55,53,71,,
11,8,2,2,No Extras,0,0,Not Applicable,55,53,71,,
10,1,2,2,No Extras,1,0,Not Applicable,55,53,48,,
10,2,2,1,No Extras,6,0,Not Applicable,53,55,48,,
10,3,2,1,No Extras,6,0,Not Applicable,53,55,48,,
10,4,2,1,No Extras,1,0,Not Applicable,53,55,48,,
10,5,2,2,No Extras,1,0,Not Applicable,55,53,48,,
10,6,2,1,wides,0,1,Not Applicable,53,55,48,,
10,7,2,1,No Extras,6,0,Not Applicable,53,55,48,,
12,1,2,1,No Extras,0,0,Not Applicable,53,55,148,,
12,2,2,1,No Extras,1,0,Not Applicable,53,55,148,,
12,3,2,2,No Extras,1,0,Not Applicable,55,53,148,,
12,4,2,1,No Extras,1,0,Not Applicable,53,55,148,,
12,5,2,2,No Extras,4,0,Not Applicable,55,53,148,,
12,6,2,2,No Extras,1,0,Not Applicable,55,53,148,,
